zpid,latlon,street,zipcode,city,state,bedrooms,bathrooms,finishedSqFt,yearBuilt,price,rent,tax year,tax,hoa
59700363,"[""37.770771"",""-122.413081""]",374 11th St UNIT 6,94103,San Francisco,CA,2,2.5,2095,2001,"957,300",5500,,783296,"500""zpid"""
2125641248,"[""37.784824"",""-122.469749""]",190 11th Ave APT 8,94118,San Francisco,CA,1,1,750,UNKNOWN,"2,202,400",3225,,UNKNOWN,"500""zpid"""
2128696496,"[""37.784824"",""-122.469749""]",190 11th Ave APT 7,94118,San Francisco,CA,2,1,850,1927,"2,202,400",4000,,UNKNOWN,"500""zpid"""
59700360,"[""37.770771"",""-122.413081""]",374 11th St UNIT 3,94103,San Francisco,CA,0,1.5,991,2001,"957,300",4000,,729988,"500""zpid"""
59700358,"[""37.770776"",""-122.413081""]",374 11th St UNIT 1,94103,San Francisco,CA,2,2.5,1387,2001,"957,300",4500,,804316,"500""zpid"""
59700361,"[""37.770771"",""-122.413081""]",374 11th St UNIT 4,94103,San Francisco,CA,3,2.5,1798,2001,"957,300",5999,,922148,"500""zpid"""
2118385959,"[""37.78482"",""-122.4697""]",190 11th Ave APT 6,94118,San Francisco,CA,1,1,750,1926,"2,202,400",3225,,UNKNOWN,"500""zpid"""
80738582,"[""37.770238"",""-122.414041""]",358 12th St # 7,94103,San Francisco,CA,UNKNOWN,UNKNOWN,823,1997,"957,300",4050,,93380,"500""zpid"""
80739023,"[""37.770238"",""-122.414041""]",358 12th St # 3,94103,San Francisco,CA,UNKNOWN,UNKNOWN,678,1997,"957,300",3995,,77814,"500""zpid"""
64969130,"[""37.770238"",""-122.414041""]",358 12th St # 8,94103,San Francisco,CA,UNKNOWN,UNKNOWN,731,1997,"957,300",4000,,82064,"500""zpid"""
15090253,"[""37.784373"",""-122.479848""]",195 20th Ave APT 9,94121,San Francisco,CA,1,1,638,1993,"2,202,400",3450,,344282,"500""zpid"""
15090251,"[""37.784373"",""-122.479848""]",195 20th Ave APT 7,94121,San Francisco,CA,1,1,652,1993,"2,202,400",3400,,284875,"500""zpid"""
15126546,"[""37.73601"",""-122.474075""]",2790 19th Ave UNIT 7,94132,San Francisco,CA,2,2,1240,1979,"1,551,600",4214,,646562,"500""zpid"""
2099924383,"[""37.76454"",""-122.479""]",1240 21st Ave APT 7,94122,San Francisco,CA,1,1,1100,UNKNOWN,"1,111,300",UNKNOWN,,UNKNOWN,"500""zpid"""
15089079,"[""37.787029"",""-122.48123""]",1 21st Ave,94121,San Francisco,CA,UNKNOWN,4,5663,1932,"2,202,400",19361,,350028,"500""zpid"""
80756353,"[""37.758632"",""-122.416126""]",3365 20th St APT 7,94110,San Francisco,CA,1,2,1250,2003,"1,167,700",4500,,796780,"500""zpid"""
15089139,"[""37.786739"",""-122.479511""]",2 20th Ave,94121,San Francisco,CA,6,5,4572,1911,"2,202,400",20203,,3219629,"500""zpid"""
15090252,"[""37.784373"",""-122.479848""]",195 20th Ave APT 8,94121,San Francisco,CA,1,1,740,1993,"2,202,400",3500,,321662,500
2116896244,"[""37.77985"",""-122.479""]",420 20th Ave APT 8,94121,San Francisco,CA,0,1,450,UNKNOWN,"1,480,400",2706,,UNKNOWN,"500""zpid"""
2099147512,"[""37.78347"",""-122.4804""]",232 21st Ave APT 5,94121,San Francisco,CA,1,1,UNKNOWN,UNKNOWN,"1,480,400",UNKNOWN,,UNKNOWN,500
2126620005,"[""37.784297"",""-122.48056""]",190 21st Ave APT 5,94121,San Francisco,CA,1,1,UNKNOWN,UNKNOWN,"2,202,400",2995,,UNKNOWN,"500""zpid"""
80733429,"[""37.757198"",""-122.411804""]",2875 21st St APT 6,94110,San Francisco,CA,1,1.5,1110,1999,"1,167,700",4500,,806174,500
2099937764,"[""37.756625"",""-122.421629""]",3321 21st St APT 6,94110,San Francisco,CA,0,1,350,UNKNOWN,"1,167,700",UNKNOWN,,UNKNOWN,"500""zpid"""
15145709,"[""37.757173"",""-122.420027""]",3248 21st St # 1,94110,San Francisco,CA,3,3,1410,1997,"1,167,700",6250,,810336,500
15145712,"[""37.757178"",""-122.419942""]",3246 21st St # 1,94110,San Francisco,CA,3,3,1440,1997,"1,167,700",6500,,1274974,500
15145715,"[""37.757168"",""-122.420112""]",3250 21st St # 1,94110,San Francisco,CA,3,2,1393,1997,"1,167,700",5875,,738730,500
2099048515,"[""37.75648"",""-122.4249""]",3471 21st St APT 1,94110,San Francisco,CA,2,1,1200,1959,"1,167,700",UNKNOWN,,UNKNOWN,"500""zpid"""
15150533,"[""37.759533"",""-122.400651""]",1919 20th St APT 5,94107,San Francisco,CA,1,1,754,1963,"1,264,000",3600,,485524,500
67394648,"[""37.758243"",""-122.42171""]",3615 20th St APT 5,94110,San Francisco,CA,2,2,1013,2003,"1,167,700",4850,,896532,500
80745791,"[""37.758632"",""-122.416126""]",3365 20th St APT 5,94110,San Francisco,CA,2,2,1269,2002,"1,167,700",5500,,1030178,"500""zpid"""
83153580,"[""37.770378"",""-122.401062""]",888 7th St # L08,94107,San Francisco,CA,UNKNOWN,1,495,2007,"957,300",3550,,310726,"500""zpid"""
